DEPTH_FT,DEPTH_M,RHOB,DT,GR,Sv_psi,Pp_psi,Pp_hydro_psi,Shmin_psi,SHmax_psi,sigma1_psi,sigma2_psi,sigma3_psi,sigma1_eff,sigma2_eff,sigma3_eff,UCS_psi,UCS_MPa,cohesion_psi,friction_angle_deg,poisson,Sv_ppg,Pp_ppg,Shmin_ppg,SHmax_ppg
43.0000,13.1100,2.4728,36.1322,43.6983,0.0000,0.0191,0.0191,0.0143,0.0036,0.0000,0.0036,0.0143,-0.0191,-0.0155,-0.0048,435.1140,3.0000,125.6066,30,0.2000,0.0000,0.0085,0.0064,0.0016
47.0000,14.3200,2.4969,45.0294,40.6447,4.2765,0.0146,0.0209,1.0801,3.4774,4.2765,3.4774,1.0801,4.2619,3.4628,1.0655,435.1140,3.0000,125.6066,30,0.2000,1.7498,0.0060,0.4419,1.4228
49.0000,14.9300,2.4899,35.0315,40.4163,6.4398,0.0152,0.0218,1.6214,5.2352,6.4398,5.2352,1.6214,6.4246,5.2200,1.6061,435.1140,3.0000,125.6066,30,0.2000,2.5274,0.0060,0.6363,2.0546
74.0000,22.5500,2.3637,35.0164,29.1991,32.7419,0.0230,0.0329,8.2027,26.6071,32.7419,26.6071,8.2027,32.7189,26.5841,8.1797,435.1140,3.0000,125.6066,30,0.2000,8.5088,0.0060,2.1317,6.9145
74.5000,22.7100,2.3641,52.8199,30.7403,33.2799,0.0232,0.0331,8.3374,27.0443,33.2799,27.0443,8.3374,33.2567,27.0211,8.3142,389.8847,2.6882,112.5500,30,0.2000,8.5906,0.0060,2.1521,6.9810
75.0000,22.8600,2.3583,32.3402,31.5109,33.7837,0.0233,0.0333,8.4634,27.4536,33.7837,27.4536,8.4634,33.7603,27.4303,8.4401,435.1140,3.0000,125.6066,30,0.2000,8.6625,0.0060,2.1701,7.0394
76.0000,23.1600,2.3771,95.1271,31.3395,34.7940,22.9813,0.0338,25.9345,32.5791,34.7940,32.5791,25.9345,11.8127,9.5978,2.9532,85.0120,0.5861,24.5408,30,0.2000,8.8041,5.8151,6.5624,8.2437
76.5000,23.3200,2.4096,42.7637,27.9430,35.3386,0.0238,0.0340,8.8525,28.7171,35.3386,28.7171,8.8525,35.3148,28.6933,8.8287,435.1140,3.0000,125.6066,30,0.2000,8.8835,0.0060,2.2254,7.2190
77.0000,23.4700,2.4463,93.2430,25.0031,35.8566,22.9336,0.0342,26.1643,33.4336,35.8566,33.4336,26.1643,12.9230,10.5000,3.2308,90.9782,0.6273,26.2631,30,0.2000,8.9552,5.7277,6.5346,8.3500
79.0000,24.0800,2.5396,163.1336,29.4272,38.0196,35.4622,0.0351,36.1015,37.5401,38.0196,37.5401,36.1015,2.5574,2.0779,0.6393,7.3490,0.0507,2.1215,30,0.2000,9.2550,8.6325,8.7881,9.1383
79.5000,24.2300,2.5012,150.1095,29.7698,38.5573,35.2288,0.0353,36.0609,37.9332,38.5573,37.9332,36.0609,3.3285,2.7044,0.8321,11.7450,0.0810,3.3905,30,0.2000,9.3269,8.5217,8.7230,9.1759
80.0000,24.3800,2.4640,114.8182,30.4835,39.0870,31.5481,0.0355,33.4328,37.6734,39.0870,37.6734,33.4328,7.5388,6.1253,1.8847,41.8425,0.2885,12.0789,30,0.2000,9.3959,7.5837,8.0367,9.0561
80.5000,24.5400,2.4312,78.5644,32.2815,39.6440,15.7797,0.0358,21.7458,35.1694,39.6440,35.1694,21.7458,23.8642,19.3897,5.9661,154.3232,1.0640,44.5493,30,0.2000,9.4706,3.7696,5.1949,8.4017
81.0000,24.6900,2.4066,34.0260,31.2538,40.1600,0.0252,0.0360,10.0589,32.6348,40.1600,32.6348,10.0589,40.1348,32.6096,10.0337,435.1140,3.0000,125.6066,30,0.2000,9.5347,0.0060,2.3882,7.7480
106.0000,32.3100,2.3397,52.3108,45.7819,65.8807,0.0330,0.0471,16.4949,53.5342,65.8807,53.5342,16.4949,65.8477,53.5013,16.4619,397.0963,2.7379,114.6318,30,0.2000,11.9522,0.0060,2.9925,9.7123
106.5000,32.4600,2.3474,38.6715,50.4344,66.3807,0.0331,0.0473,16.6200,53.9405,66.3807,53.9405,16.6200,66.3476,53.9074,16.5869,435.1140,3.0000,125.6066,30,0.2000,11.9864,0.0060,3.0011,9.7401
114.0000,34.7500,2.3210,75.0123,35.2212,73.9835,23.2758,0.0507,35.9527,64.4758,73.9835,64.4758,35.9527,50.7077,41.2000,12.6769,175.3747,1.2092,50.6263,30,0.2000,12.4803,3.9264,6.0649,10.8765
114.5000,34.9000,2.3464,134.4743,34.3935,74.4814,65.6219,0.0509,67.8368,72.8203,74.4814,72.8203,67.8368,8.8595,7.1983,2.2149,20.6206,0.1422,5.9527,30,0.2000,12.5095,11.0215,11.3935,12.2305
115.0000,35.0500,2.3648,142.0330,32.7380,74.9840,67.4153,0.0511,69.3075,73.5649,74.9840,73.5649,69.3075,7.5687,6.1495,1.8922,15.7081,0.1083,4.5346,30,0.2000,12.5391,11.2735,11.5899,12.3018
115.5000,35.2000,2.3752,156.4742,31.9102,75.4896,69.7917,0.0513,71.2162,74.4213,75.4896,74.4213,71.2162,5.6979,4.6296,1.4245,9.3399,0.0644,2.6962,30,0.2000,12.5690,11.6203,11.8575,12.3912
116.0000,35.3600,2.3872,53.9675,28.8562,76.0315,0.0361,0.0516,19.0349,61.7824,76.0315,61.7824,19.0349,75.9954,61.7463,18.9989,374.1054,2.5794,107.9949,30,0.2000,12.6047,0.0060,3.1557,10.2424
116.5000,35.5100,2.3865,108.8188,29.0845,76.5407,59.3687,0.0518,63.6617,73.3210,76.5407,73.3210,63.6617,17.1721,13.9523,4.2930,51.9297,0.3580,14.9908,30,0.2000,12.6347,9.8000,10.5087,12.1032
117.0000,35.6600,2.3506,101.6711,27.8860,77.0461,55.8556,0.0520,61.1532,73.0729,77.0461,73.0729,61.1532,21.1905,17.2172,5.2976,67.1687,0.4631,19.3899,30,0.2000,12.6637,9.1807,10.0515,12.0107
117.5000,35.8100,2.3084,131.2338,30.3976,77.5431,67.6272,0.0522,70.1062,75.6839,77.5431,75.6839,70.1062,9.9158,8.0566,2.4790,23.1721,0.1598,6.6892,30,0.2000,12.6912,11.0683,11.4740,12.3869
118.0000,35.9600,2.2850,107.9739,32.0246,78.0331,60.1193,0.0524,64.5978,74.6743,78.0331,74.6743,64.5978,17.9137,14.5549,4.4784,53.5335,0.3691,15.4538,30,0.2000,12.7173,9.7978,10.5277,12.1699
118.5000,36.1200,2.2945,120.3567,35.1928,78.5542,65.5356,0.0527,68.7902,76.1132,78.5542,76.1132,68.7902,13.0186,10.5776,3.2546,34.2788,0.2363,9.8954,30,0.2000,12.7482,10.6354,11.1636,12.3520
119.0000,36.2700,2.3023,36.7617,34.2796,79.0445,0.0370,0.0529,19.7889,64.2306,79.0445,64.2306,19.7889,79.0075,64.1936,19.7519,435.1140,3.0000,125.6066,30,0.2000,12.7738,0.0060,3.1979,10.3799
128.5000,39.1600,2.3260,56.8858,31.7678,88.5570,0.0400,0.0571,22.1692,71.9600,88.5570,71.9600,22.1692,88.5170,71.9201,22.1292,336.7964,2.3221,97.2248,30,0.2000,13.2531,0.0060,3.3178,10.7692
129.0000,39.3200,2.3191,44.0679,33.5375,89.0855,0.0401,0.0573,22.3015,72.3895,89.0855,72.3895,22.3015,89.0454,72.3494,22.2613,435.1140,3.0000,125.6066,30,0.2000,13.2805,0.0060,3.3246,10.7915
134.5000,40.9900,2.3166,45.5193,28.2855,94.5911,0.0418,0.0598,23.6791,76.8631,94.5911,76.8631,23.6791,94.5493,76.8213,23.6373,435.1140,3.0000,125.6066,30,0.2000,13.5246,0.0060,3.3856,10.9899
135.0000,41.1500,2.3348,31.4134,30.9401,95.1204,0.0420,0.0600,23.8116,77.2932,95.1204,77.2932,23.8116,95.0784,77.2512,23.7696,435.1140,3.0000,125.6066,30,0.2000,13.5499,0.0060,3.3920,11.0104
136.0000,41.4500,2.3279,34.2153,29.0278,96.1151,0.0423,0.0604,24.0605,78.1015,96.1151,78.1015,24.0605,96.0728,78.0592,24.0182,435.1140,3.0000,125.6066,30,0.2000,13.5909,0.0060,3.4022,11.0438
136.5000,41.6000,2.3155,48.2908,25.9165,96.6105,0.0425,0.0606,24.1845,78.5040,96.6105,78.5040,24.1845,96.5680,78.4615,24.1420,435.1140,3.0000,125.6066,30,0.2000,13.6109,0.0060,3.4072,11.0600
137.0000,41.7600,2.3038,45.5486,26.8297,97.1361,0.0426,0.0609,24.3160,78.9311,97.1361,78.9311,24.3160,97.0935,78.8884,24.2734,435.1140,3.0000,125.6066,30,0.2000,13.6350,0.0060,3.4132,11.0796
145.0000,44.1900,2.3179,38.2492,30.3691,105.1230,0.0451,0.0644,26.3146,85.4209,105.1230,85.4209,26.3146,105.0779,85.3758,26.2695,435.1140,3.0000,125.6066,30,0.2000,13.9420,0.0060,3.4900,11.3290
152.0000,46.3300,2.3554,67.8947,38.3041,112.2353,9.5636,0.0675,35.2316,92.9844,112.2353,92.9844,35.2316,102.6717,83.4207,25.6679,226.5937,1.5623,65.4120,30,0.2000,14.1998,1.2100,4.4574,11.7642
152.5000,46.4800,2.3377,119.0437,38.5040,112.7359,93.6061,0.0678,98.3885,109.1491,112.7359,109.1491,98.3885,19.1299,15.5430,4.7825,35.9380,0.2478,10.3744,30,0.2000,14.2164,11.8040,12.4071,13.7641
153.0000,46.6300,2.3445,103.6984,34.4508,113.2354,84.1700,0.0680,91.4364,107.7857,113.2354,107.7857,91.4364,29.0654,23.6156,7.2663,62.4412,0.4305,18.0252,30,0.2000,14.2327,10.5794,11.4928,13.5477
153.5000,46.7800,2.3766,165.8366,35.9063,113.7390,106.6020,0.0682,108.3863,112.4008,113.7390,112.4008,108.3863,7.1370,5.7989,1.7843,6.6675,0.0460,1.9248,30,0.2000,14.2494,13.3553,13.5788,14.0818
154.5000,47.0900,2.4153,31.7933,32.1959,114.7955,0.0481,0.0687,28.7349,93.2803,114.7955,93.2803,28.7349,114.7474,93.2323,28.6869,435.1140,3.0000,125.6066,30,0.2000,14.2887,0.0060,3.5767,11.6107
155.0000,47.2400,2.3587,102.3705,28.4569,115.3047,84.5583,0.0689,92.2449,109.5398,115.3047,109.5398,92.2449,30.7464,24.9815,7.6866,65.4987,0.4516,18.9078,30,0.2000,14.3058,10.4911,11.4448,13.5905
155.5000,47.3900,2.3034,116.5407,27.4293,115.8021,94.8756,0.0691,100.1072,111.8784,115.8021,111.8784,100.1072,20.9265,17.0028,5.2316,39.3266,0.2711,11.3526,30,0.2000,14.3213,11.7333,12.3803,13.8361
156.0000,47.5500,2.2859,88.7871,28.8849,116.3243,68.7936,0.0693,80.6763,107.4123,116.3243,107.4123,80.6763,47.5306,38.6186,11.8827,106.8079,0.7364,30.8328,30,0.2000,14.3398,8.4805,9.9453,13.2412
161.5000,49.2200,2.3144,31.5634,28.2854,121.7878,0.0502,0.0718,30.4846,98.9620,121.7878,98.9620,30.4846,121.7376,98.9118,30.4344,435.1140,3.0000,125.6066,30,0.2000,14.5020,0.0060,3.6300,11.7840
162.0000,49.3800,2.3319,34.9168,28.2855,122.3165,0.0504,0.0720,30.6169,99.3916,122.3165,99.3916,30.6169,122.2661,99.3412,30.5665,435.1140,3.0000,125.6066,30,0.2000,14.5200,0.0060,3.6345,11.7986
186.5000,56.8400,2.3136,30.7521,33.0237,146.9623,0.0580,0.0829,36.7841,119.4177,146.9623,119.4177,36.7841,146.9043,119.3597,36.7261,435.1140,3.0000,125.6066,30,0.2000,15.1539,0.0060,3.7930,12.3136
188.5000,57.4500,2.3465,34.1020,29.1988,148.9839,0.0586,0.0838,37.2899,121.0604,148.9839,121.0604,37.2899,148.9253,121.0018,37.2313,435.1140,3.0000,125.6066,30,0.2000,15.1993,0.0060,3.8043,12.3506
189.0000,57.6000,2.3460,115.9740,30.8543,149.4845,122.3241,0.0840,129.1142,144.3919,149.4845,144.3919,129.1142,27.1604,22.0678,6.7901,40.1372,0.2767,11.5866,30,0.2000,15.2101,12.4465,13.1374,14.6919
189.5000,57.7600,2.3541,155.7580,29.7412,150.0193,138.7691,0.0842,141.5817,147.9099,150.0193,147.9099,141.5817,11.2501,9.1407,2.8125,9.5839,0.0661,2.7666,30,0.2000,15.2242,14.0825,14.3679,15.0101
190.0000,57.9100,2.3791,128.5526,30.8544,150.5242,130.4487,0.0844,135.4676,146.7601,150.5242,146.7601,135.4676,20.0755,16.3113,5.0189,25.5203,0.1760,7.3671,30,0.2000,15.2352,13.2033,13.7113,14.8543
190.5000,58.0600,2.4376,189.0145,26.6872,151.0380,143.4861,0.0846,145.3741,149.6220,151.0380,149.6220,145.3741,7.5519,6.1359,1.8880,2.8946,0.0200,0.8356,30,0.2000,15.2471,14.4848,14.6754,15.1042
191.0000,58.2100,2.4956,68.8365,25.0032,151.5643,19.9437,0.0849,52.8488,126.8854,151.5643,126.8854,52.8488,131.6206,106.9418,32.9052,219.0398,1.5102,63.2313,30,0.2000,15.2602,2.0080,5.3211,12.7754
191.5000,58.3700,2.4967,37.5969,23.4334,152.1323,0.0596,0.0851,38.0778,123.6187,152.1323,123.6187,38.0778,152.0728,123.5591,38.0182,435.1140,3.0000,125.6066,30,0.2000,15.2774,0.0060,3.8238,12.4140
192.0000,58.5200,2.4593,96.5670,23.0051,152.6610,104.6538,0.0853,116.6556,143.6597,152.6610,143.6597,116.6556,48.0072,39.0058,12.0018,80.7175,0.5565,23.3011,30,0.2000,15.2906,10.4822,11.6843,14.3890
192.5000,58.6700,2.4071,147.0536,25.3740,153.1801,139.5412,0.0855,142.9509,150.6228,153.1801,150.6228,142.9509,13.6389,11.0816,3.4097,13.1108,0.0904,3.7848,30,0.2000,15.3027,13.9402,14.2808,15.0472
193.0000,58.8200,2.3893,157.8060,26.3446,153.6918,142.6198,0.0858,145.3878,151.6158,153.6918,151.6158,145.3878,11.0720,8.9960,2.7680,8.9027,0.0614,2.5700,30,0.2000,15.3140,14.2108,14.4866,15.1072
193.5000,58.9800,2.4025,55.0604,27.4577,154.2370,0.0602,0.0860,38.6044,125.3289,154.2370,125.3289,38.6044,154.1769,125.2687,38.5442,359.6722,2.4798,103.8284,30,0.2000,15.3287,0.0060,3.8367,12.4557
194.0000,59.1300,2.3985,39.3337,26.6872,154.7492,0.0603,0.0862,38.7326,125.7450,154.7492,125.7450,38.7326,154.6888,125.6847,38.6722,435.1140,3.0000,125.6066,30,0.2000,15.3399,0.0060,3.8395,12.4648
226.5000,69.0300,2.3876,73.1017,31.4823,188.4460,53.1284,0.1006,86.9578,163.0739,188.4460,163.0739,86.9578,135.3175,109.9455,33.8294,187.8618,1.2953,54.2310,30,0.2000,15.9998,4.5108,7.3831,13.8456
227.0000,69.1900,2.3941,33.2379,33.5661,188.9901,0.0706,0.1009,47.3005,153.5677,188.9901,153.5677,47.3005,188.9195,153.4971,47.2299,435.1140,3.0000,125.6066,30,0.2000,16.0107,0.0060,4.0072,13.0098
227.5000,69.3400,2.4204,86.0848,34.5079,189.5037,106.1992,0.1011,127.0253,173.8841,189.5037,173.8841,127.0253,83.3045,67.6849,20.8261,117.7207,0.8117,33.9830,30,0.2000,16.0189,8.9771,10.7376,14.6986
229.5000,69.9500,2.4934,168.2231,25.3456,191.6353,180.3527,0.1020,183.1734,189.5198,191.6353,189.5198,183.1734,11.2826,9.1671,2.8207,6.1186,0.0422,1.7663,30,0.2000,16.0579,15.1125,15.3489,15.8807
230.0000,70.1000,2.4649,171.6736,30.0266,192.1643,181.5205,0.1022,184.1815,190.1686,192.1643,190.1686,184.1815,10.6437,8.6480,2.6609,5.4039,0.0373,1.5600,30,0.2000,16.0672,15.1773,15.3998,15.9004
230.5000,70.2500,2.4351,75.1625,35.8493,192.6870,65.5356,0.1024,97.3234,168.8461,192.6870,168.8461,97.3234,127.1514,103.3105,31.7878,174.4290,1.2026,50.3533,30,0.2000,16.0760,5.4677,8.1198,14.0869
231.0000,70.4100,2.4200,78.9425,36.4202,193.2394,83.1930,0.1027,110.7046,172.6057,193.2394,172.6057,110.7046,110.0464,89.4127,27.5116,152.2369,1.0496,43.9470,30,0.2000,16.0872,6.9258,9.2162,14.3694
231.5000,70.5600,2.4004,32.3211,41.1295,193.7536,0.0720,0.1029,48.4924,157.4383,193.7536,157.4383,48.4924,193.6816,157.3663,48.4204,435.1140,3.0000,125.6066,30,0.2000,16.0952,0.0060,4.0283,13.0784
263.5000,80.3100,2.3583,33.8797,30.4262,226.7499,0.0820,0.1171,56.7489,184.2497,226.7499,184.2497,56.7489,226.6679,184.1677,56.6670,435.1140,3.0000,125.6066,30,0.2000,16.5487,0.0060,4.1417,13.4469
264.0000,80.4600,2.3564,142.4226,26.0591,227.2528,205.4132,0.1173,210.8731,223.1579,227.2528,223.1579,210.8731,21.8397,17.7447,5.4599,15.4894,0.1068,4.4714,30,0.2000,16.5540,14.9631,15.3608,16.2557
265.5000,80.9200,2.3848,184.3241,27.7148,228.8039,217.3637,0.1180,220.2237,226.6588,228.8039,226.6588,220.2237,11.4402,9.2952,2.8600,3.4271,0.0236,0.9893,30,0.2000,16.5728,15.7441,15.9513,16.4174
267.5000,81.5300,2.3644,110.0386,28.7422,230.8641,182.8049,0.1189,194.8197,221.8530,230.8641,221.8530,194.8197,48.0592,39.0481,12.0148,49.6987,0.3427,14.3468,30,0.2000,16.5970,13.1420,14.0057,15.9492
268.0000,81.6800,2.3202,66.7682,30.4836,231.3638,15.7969,0.1191,69.6887,190.9450,231.3638,190.9450,69.6887,215.5669,175.1481,53.8917,235.9718,1.6270,68.1192,30,0.2000,16.6019,1.1335,5.0006,13.7016
268.5000,81.8300,2.3024,169.1110,31.8821,231.8570,218.5634,0.1193,221.8868,229.3644,231.8570,229.3644,221.8868,13.2935,10.8010,3.3234,5.9261,0.0409,1.7107,30,0.2000,16.6063,15.6542,15.8922,16.4278
269.0000,81.9900,2.3078,52.2966,33.3663,232.3815,0.0837,0.1195,58.1581,188.8257,232.3815,188.8257,58.1581,232.2979,188.7420,58.0745,397.2993,2.7393,114.6904,30,0.2000,16.6129,0.0060,4.1577,13.4991
269.5000,82.1400,2.3191,55.2028,35.9633,232.8751,0.0838,0.1198,58.2816,189.2267,232.8751,189.2267,58.2816,232.7913,189.1429,58.1978,357.8331,2.4672,103.2975,30,0.2000,16.6173,0.0060,4.1588,13.5027
297.5000,90.6700,2.3341,31.4255,35.7636,261.1026,0.0925,0.1322,65.3451,212.1632,261.1026,212.1632,65.3451,261.0101,212.0707,65.2525,435.1140,3.0000,125.6066,30,0.2000,16.8780,0.0060,4.2240,13.7145
298.0000,90.8300,2.3333,56.7837,33.8514,261.6337,0.0927,0.1324,65.4779,212.5948,261.6337,212.5948,65.4779,261.5410,212.5021,65.3853,338.0367,2.3307,97.5828,30,0.2000,16.8840,0.0060,4.2255,13.7193
298.5000,90.9800,2.3249,44.9960,30.9686,262.1306,0.0928,0.1326,65.6023,212.9985,262.1306,212.9985,65.6023,262.0378,212.9057,65.5094,435.1140,3.0000,125.6066,30,0.2000,16.8877,0.0060,4.2264,13.7224
299.0000,91.1300,2.3251,159.9854,30.8829,262.6267,244.9911,0.1329,249.4000,259.3200,262.6267,259.3200,249.4000,17.6356,14.3289,4.4089,8.2309,0.0567,2.3761,30,0.2000,16.8913,15.7571,16.0406,16.6787
299.5000,91.2800,2.3304,195.3443,29.8268,263.1233,249.9671,0.1331,253.2562,260.6565,263.1233,260.6565,253.2562,13.1562,10.6894,3.2890,2.3048,0.0159,0.6653,30,0.2000,16.8950,16.0503,16.2615,16.7366
300.0000,91.4400,2.3451,101.0639,32.5098,263.6553,193.4417,0.1333,210.9951,250.4902,263.6553,250.4902,210.9951,70.2136,57.0486,17.5534,68.6532,0.4733,19.8185,30,0.2000,16.9010,12.4001,13.5253,16.0571
300.5000,91.5900,2.3320,72.4457,31.9104,264.1542,73.1983,0.1335,120.9373,228.3500,264.1542,228.3500,120.9373,190.9559,155.1517,47.7390,192.3511,1.3262,55.5270,30,0.2000,16.9048,4.6844,7.7395,14.6135
301.0000,91.7400,2.3143,79.2902,34.7649,264.6499,118.7460,0.1337,155.2220,237.2929,264.6499,237.2929,155.2220,145.9038,118.5469,36.4760,150.3431,1.0366,43.4003,30,0.2000,16.9084,7.5866,9.9171,15.1605
301.5000,91.8900,2.3154,127.1384,33.2237,265.1437,229.6914,0.1340,238.5545,258.4964,265.1437,258.4964,238.5545,35.4523,28.8050,8.8631,26.8532,0.1851,7.7519,30,0.2000,16.9118,14.6506,15.2159,16.4878
302.0000,92.0500,2.3120,63.5620,35.4212,265.6703,0.0939,0.1342,66.4880,215.8747,265.6703,215.8747,66.4880,265.5763,215.7808,66.3941,264.8426,1.8260,76.4535,30,0.2000,16.9174,0.0060,4.2338,13.7465
302.5000,92.2000,2.3133,105.5075,34.1653,266.1637,203.9088,0.1344,219.4725,254.4909,266.1637,254.4909,219.4725,62.2548,50.5821,15.5637,58.5041,0.4034,16.8887,30,0.2000,16.9208,12.9631,13.9525,16.1787
303.0000,92.3500,2.3261,71.2464,34.5077,266.6586,64.1323,0.1346,114.7639,228.6849,266.6586,228.6849,114.7639,202.5263,164.5526,50.6316,200.8377,1.3847,57.9769,30,0.2000,16.9243,4.0703,7.2838,14.5141
304.5000,92.8100,2.4430,153.9132,33.2520,268.2187,248.0213,0.1353,253.0706,264.4317,268.2187,264.4317,253.0706,20.1975,16.4104,5.0494,10.2420,0.0706,2.9566,30,0.2000,16.9394,15.6638,15.9827,16.7002
305.5000,93.1100,2.3613,98.3316,36.8766,269.2437,191.5149,0.1357,210.9471,254.6696,269.2437,254.6696,210.9471,77.7289,63.1547,19.4322,75.7494,0.5223,21.8670,30,0.2000,16.9485,12.0556,13.2788,16.0311
306.0000,93.2600,2.3252,68.3551,36.6483,269.7437,37.9536,0.1360,95.9011,226.2830,269.7437,226.2830,95.9011,231.7900,188.3294,57.9475,222.8690,1.5366,64.3367,30,0.2000,16.9522,2.3852,6.0270,14.2209
306.5000,93.4200,2.3181,40.0271,39.8451,270.2720,0.0953,0.1362,67.6395,219.6139,270.2720,219.6139,67.6395,270.1767,219.5186,67.5442,435.1140,3.0000,125.6066,30,0.2000,16.9577,0.0060,4.2439,13.7793
337.5000,102.8600,2.4502,32.0254,43.3274,302.2836,0.1050,0.1500,75.6496,245.6251,302.2836,245.6251,75.6496,302.1786,245.5201,75.5447,435.1140,3.0000,125.6066,30,0.2000,17.2241,0.0060,4.3105,13.9957
338.0000,103.0200,2.4489,76.7396,42.2142,302.8411,120.5399,0.1502,166.1152,268.6596,302.8411,268.6596,166.1152,182.3012,148.1197,45.5753,164.8015,1.1363,47.5741,30,0.2000,17.2304,6.8582,9.4513,15.2856
338.5000,103.1700,2.4252,116.3944,42.0430,303.3610,251.0327,0.1504,264.1147,293.5494,303.3610,293.5494,264.1147,52.3284,42.5168,13.0821,39.5343,0.2726,11.4126,30,0.2000,17.2345,14.2616,15.0048,16.6771
341.0000,103.9300,2.2237,83.4168,45.5251,305.8737,162.6363,0.1515,198.4456,279.0167,305.8737,279.0167,198.4456,143.2374,116.3804,35.8093,129.5883,0.8935,37.4089,30,0.2000,17.2498,9.1719,11.1914,15.7352
341.5000,104.0800,2.1648,134.1781,46.6668,306.3418,271.8770,0.1517,280.4932,299.8797,306.3418,299.8797,280.4932,34.4649,28.0027,8.6162,20.8417,0.1437,6.0165,30,0.2000,17.2509,15.3101,15.7953,16.8870
342.0000,104.2400,2.1013,137.5027,49.7777,306.8272,274.7560,0.1520,282.7738,300.8139,306.8272,300.8139,282.7738,32.0712,26.0579,8.0178,18.4907,0.1275,5.3378,30,0.2000,17.2530,15.4496,15.9005,16.9149
342.5000,104.3900,2.0712,191.9004,54.1163,307.2723,291.9087,0.1522,295.7496,304.3917,307.2723,304.3917,295.7496,15.3636,12.4829,3.8409,2.6090,0.0180,0.7531,30,0.2000,17.2528,16.3902,16.6058,17.0911
343.0000,104.5400,2.0834,70.2005,59.1114,307.7155,66.0779,0.1524,126.4873,262.4085,307.7155,262.4085,126.4873,241.6376,196.3306,60.4094,208.5439,1.4379,60.2014,30,0.2000,17.2525,3.7048,7.0917,14.7123
343.5000,104.6900,2.0817,72.4006,61.8516,308.1599,87.6005,0.1526,142.7403,266.8050,308.1599,266.8050,142.7403,220.5594,179.2045,55.1398,192.6637,1.3284,55.6172,30,0.2000,17.2523,4.9043,7.9913,14.9370
373.5000,113.8400,2.1219,32.7541,81.4034,335.5134,0.1162,0.1660,143.8579,287.5995,335.5134,287.5995,143.8579,335.3973,287.4834,143.7417,435.1140,3.0000,146.7440,22,0.3000,17.2749,0.0060,7.4070,14.8079
376.0000,114.6000,2.1928,36.8506,90.8221,337.8455,0.1170,0.1671,144.8577,289.5985,337.8455,289.5985,144.8577,337.7285,289.4816,144.7408,435.1140,3.0000,146.7440,22,0.3000,17.2793,0.0060,7.4088,14.8117
376.5000,114.7500,2.1932,140.0878,96.8161,338.3134,305.1889,0.1673,319.3851,333.5813,338.3134,333.5813,319.3851,33.1244,28.3924,14.1962,16.3409,0.1127,5.5110,22,0.3000,17.2803,15.5884,16.3135,17.0386
379.0000,115.5100,2.3558,170.9583,72.0694,340.7720,322.4267,0.1684,327.0131,337.3323,340.7720,337.3323,327.0131,18.3453,14.9056,4.5863,5.5448,0.0382,1.6007,30,0.2000,17.2911,16.3602,16.5929,17.1165
379.5000,115.6700,2.2864,106.7375,81.2035,341.3002,265.8158,0.1686,298.1663,330.5168,341.3002,330.5168,298.1663,75.4844,64.7009,32.3505,36.2459,0.2499,12.2241,22,0.3000,17.2950,13.4699,15.1093,16.7486
380.0000,115.8200,2.2102,139.6160,82.0026,341.7799,308.0082,0.1689,322.4818,336.9554,341.7799,336.9554,322.4818,33.7717,28.9472,14.4736,16.5032,0.1138,5.5658,22,0.3000,17.2966,15.5875,16.3199,17.0524
380.5000,115.9700,2.1611,125.7104,82.7736,342.2462,295.9253,0.1691,315.7771,335.6290,342.2462,335.6290,315.7771,46.3209,39.7036,19.8518,22.4424,0.1547,7.5688,22,0.3000,17.2974,14.9563,15.9596,16.9630
381.0000,116.1200,2.1439,54.1259,82.0882,342.7055,0.1185,0.1693,146.9415,293.7645,342.7055,293.7645,146.9415,342.5870,293.6460,146.8230,265.0639,1.8275,89.3939,22,0.3000,17.2979,0.0060,7.4168,14.8276
381.5000,116.2800,2.1349,37.0983,84.4861,343.1923,0.1187,0.1695,147.1502,294.1818,343.1923,294.1818,147.1502,343.0737,294.0631,147.0316,435.1140,3.0000,146.7440,22,0.3000,17.2997,0.0060,7.4176,14.8292
390.0000,118.8700,2.2465,44.3934,94.6185,351.2625,0.1213,0.1733,150.6104,301.0995,351.2625,301.0995,150.6104,351.1412,300.9782,150.4891,435.1140,3.0000,146.7440,22,0.3000,17.3206,0.0060,7.4265,14.8471
412.5000,125.7200,2.1302,41.3136,85.3421,372.5836,0.1283,0.1833,159.7520,319.3757,372.5836,319.3757,159.7520,372.4553,319.2474,159.6237,435.1140,3.0000,146.7440,22,0.3000,17.3699,0.0060,7.4476,14.8893
413.0000,125.8800,2.1265,41.3787,90.7078,373.0680,0.1285,0.1835,159.9597,319.7909,373.0680,319.7909,159.9597,372.9395,319.6624,159.8312,435.1140,3.0000,146.7440,22,0.3000,17.3714,0.0060,7.4483,14.8906
413.5000,126.0300,2.1289,62.1036,89.1381,373.5219,0.1286,0.1837,160.1543,320.1800,373.5219,320.1800,160.1543,373.3933,320.0514,160.0257,177.1722,1.2216,59.7521,22,0.3000,17.3715,0.0060,7.4483,14.8907
414.0000,126.1800,2.1328,102.4284,89.5379,373.9765,281.2657,0.1840,320.9989,360.7321,373.9765,360.7321,320.9989,92.7108,79.4664,39.7332,40.8974,0.2820,13.7928,22,0.3000,17.3716,13.0651,14.9108,16.7564
