DEPTH_FT,DEPTH_M,RHOB,DT,GR,Sv_psi,Pp_psi,Pp_hydro_psi,Shmin_psi,SHmax_psi,sigma1_psi,sigma2_psi,sigma3_psi,sigma1_eff,sigma2_eff,sigma3_eff,UCS_psi,UCS_MPa,cohesion_psi,friction_angle_deg,poisson,Sv_ppg,Pp_ppg,Shmin_ppg,SHmax_ppg
3130.5000,954.1300,2.4822,65.1286,163.7519,3266.0507,1775.1401,1.3910,2414.1018,3053.0635,3266.0507,3053.0635,2414.1018,1490.9105,1277.9233,638.9617,154.1262,1.0627,51.9797,22,0.3000,20.0635,10.9047,14.8299,18.7551
3131.0000,954.2800,2.4828,65.0715,152.7627,3266.5803,1771.7049,1.3912,2412.3658,3053.0267,3266.5803,3053.0267,2412.3658,1494.8754,1281.3218,640.6609,154.5228,1.0654,52.1135,22,0.3000,20.0635,10.8819,14.8169,18.7519
3131.5000,954.4300,2.4765,70.2987,158.8422,3267.1093,2081.4877,1.3915,2589.6113,3097.7348,3267.1093,3097.7348,2589.6113,1185.6216,1016.2471,508.1235,123.2174,0.8496,41.5556,22,0.3000,20.0636,12.7826,15.9030,19.0234
3132.0000,954.5900,2.4538,69.0491,155.9304,3267.6704,2016.4647,1.3917,2552.6957,3088.9267,3267.6704,3088.9267,2552.6957,1251.2057,1072.4620,536.2310,129.8657,0.8954,43.7978,22,0.3000,20.0638,12.3813,15.6738,18.9663
3132.5000,954.7400,2.4548,77.7772,163.9222,3268.1940,2392.6950,1.3919,2767.9088,3143.1227,3268.1940,3143.1227,2767.9088,875.4990,750.4277,375.2139,91.6285,0.6318,30.9021,22,0.3000,20.0638,14.6890,16.9925,19.2960
3133.0000,954.8900,2.4728,77.2268,162.9229,3268.7196,2374.3470,1.3921,2757.6496,3140.9521,3268.7196,3140.9521,2757.6496,894.3726,766.6051,383.3026,93.5551,0.6450,31.5518,22,0.3000,20.0638,14.5741,16.9268,19.2796
3133.5000,955.0400,2.4847,75.1620,173.1983,3269.2485,2299.1002,1.3923,2714.8780,3130.6559,3269.2485,3130.6559,2714.8780,970.1483,831.5557,415.7778,101.2867,0.6983,34.1594,22,0.3000,20.0639,14.1099,16.6616,19.2133
3134.0000,955.2000,2.4789,68.5708,174.5969,3269.8133,1992.1080,1.3926,2539.6960,3087.2839,3269.8133,3087.2839,2539.6960,1277.7052,1095.1759,547.5880,132.5378,0.9138,44.6989,22,0.3000,20.0641,12.2239,15.5840,18.9441
3134.5000,955.3500,2.4646,61.4142,176.8233,3270.3406,1491.8475,1.3928,2254.0589,3016.2702,3270.3406,3016.2702,2254.0589,1778.4931,1524.4226,762.2113,183.0628,1.2622,61.7387,22,0.3000,20.0642,9.1528,13.8291,18.5054
3135.0000,955.5000,2.4600,62.0760,177.4512,3270.8659,1548.6113,1.3930,2286.7204,3024.8296,3270.8659,3024.8296,2286.7204,1722.2547,1476.2183,738.1091,177.4031,1.2231,59.8299,22,0.3000,20.0642,9.4995,14.0272,18.5550
3135.5000,955.6500,2.4641,72.1450,174.4551,3271.3912,2174.2569,1.3932,2644.4574,3114.6578,3271.3912,3114.6578,2644.4574,1097.1343,940.4008,470.2004,114.2045,0.7874,38.5160,22,0.3000,20.0642,13.3352,16.2191,19.1029
3136.0000,955.8100,2.4763,70.1876,174.9123,3271.9534,2080.4037,1.3935,2591.0678,3101.7320,3271.9534,3101.7320,2591.0678,1191.5497,1021.3283,510.6641,123.7897,0.8535,41.7486,22,0.3000,20.0645,12.7576,15.8891,19.0206
3136.5000,955.9600,2.4826,69.3441,168.7189,3272.4824,2036.8900,1.3937,2566.4296,3095.9692,3272.4824,3095.9692,2566.4296,1235.5923,1059.0791,529.5396,128.2537,0.8843,43.2541,22,0.3000,20.0645,12.4887,15.7355,18.9823
3137.0000,956.1100,2.4910,64.9203,170.1167,3273.0129,1767.1938,1.3939,2412.5448,3057.8959,3273.0129,3057.8959,2412.5448,1505.8191,1290.7021,645.3511,155.5796,1.0727,52.4699,22,0.3000,20.0646,10.8334,14.7896,18.7458
3137.5000,956.2600,2.4955,71.4420,172.6275,3273.5449,2143.5815,1.3941,2627.8515,3112.1215,3273.5449,3112.1215,2627.8515,1129.9633,968.5400,484.2700,117.5286,0.8103,39.6370,22,0.3000,20.0646,13.1387,16.1070,19.0752
3138.0000,956.4200,2.4877,71.1514,173.2266,3274.1119,2130.2061,1.3944,2620.4515,3110.6968,3274.1119,3110.6968,2620.4515,1143.9057,980.4906,490.2453,118.9406,0.8201,40.1132,22,0.3000,20.0649,13.0547,16.0590,19.0634
3138.5000,956.5700,2.4769,70.8760,163.4362,3274.6415,2117.3215,1.3946,2613.3158,3109.3101,3274.6415,3109.3101,2613.3158,1157.3200,991.9885,495.9943,120.2998,0.8294,40.5716,22,0.3000,20.0650,12.9736,16.0128,19.0519
3139.0000,956.7200,2.4442,66.3594,153.1615,3275.1664,1865.0547,1.3948,2469.3883,3073.7219,3275.1664,3073.7219,2469.3883,1410.1117,1208.6672,604.3336,145.8994,1.0059,49.2052,22,0.3000,20.0650,11.4261,15.1285,18.8308
3139.5000,956.8700,2.4392,64.4297,152.1626,3275.6874,1735.0096,1.3950,2395.3001,3055.5905,3275.6874,3055.5905,2395.3001,1540.6778,1320.5810,660.2905,159.0762,1.0968,53.6491,22,0.3000,20.0650,10.6277,14.6722,18.7168
3140.0000,957.0300,2.4464,74.1297,156.1589,3276.2433,2264.6467,1.3952,2698.1881,3131.7295,3276.2433,3131.7295,2698.1881,1011.5965,867.0828,433.5414,105.4752,0.7272,35.5720,22,0.3000,20.0652,13.8697,16.5249,19.1801
3140.5000,957.1800,2.4744,67.2933,169.0313,3276.7682,1924.4516,1.3955,2504.0159,3083.5801,3276.7682,3083.5801,2504.0159,1352.3166,1159.1285,579.5643,140.0458,0.9656,47.2311,22,0.3000,20.0652,11.7843,15.3333,18.8822
3141.0000,957.3300,2.4903,76.0792,174.4259,3277.2978,2341.4474,1.3957,2742.5262,3143.6049,3277.2978,3143.6049,2742.5262,935.8504,802.1575,401.0788,97.7504,0.6740,32.9667,22,0.3000,20.0653,14.3355,16.7911,19.2467
3141.5000,957.4800,2.4851,79.3305,178.6219,3277.8286,2452.3720,1.3959,2806.1391,3159.9062,3277.8286,3159.9062,2806.1391,825.4566,707.5342,353.7671,86.4705,0.5962,29.1625,22,0.3000,20.0653,15.0123,17.1778,19.3434
3142.0000,957.6300,2.4849,74.4777,175.1118,3278.3588,2280.7816,1.3961,2708.3147,3135.8477,3278.3588,3135.8477,2708.3147,997.5771,855.0661,427.5330,104.0377,0.7173,35.0872,22,0.3000,20.0654,13.9596,16.5764,19.1931
3142.5000,957.7900,2.4711,74.3420,165.5215,3278.9227,2275.8384,1.3964,2705.7317,3135.6249,3278.9227,3135.6249,2705.7317,1003.0843,859.7866,429.8933,104.5951,0.7212,35.2751,22,0.3000,20.0656,13.9272,16.5579,19.1887
3143.0000,957.9400,2.4685,69.0931,163.3801,3279.4496,2029.9212,1.3966,2565.4334,3100.9456,3279.4496,3100.9456,2565.4334,1249.5284,1071.0243,535.5122,129.6236,0.8937,43.7161,22,0.3000,20.0657,12.4203,15.6969,18.9735
